 PWM (µs), RPM, Current (A), Voltage (V), Power (W), Force (Kg f), Efficiency (g/W)
1380,1448,1.2,16,19.2,-0.65,33.8
1384,1410,1.1,16,17.6,-0.62,35.1
1388,1362,1,16,16.0,-0.58,36.3
1392,1325,0.9,16,14.4,-0.54,37.5
1396,1285,0.8,16,12.8,-0.51,40.0
1400,1246,0.7,16,11.2,-0.48,42.9
1404,1199,0.66,16,10.6,-0.44,42.1
1408,1153,0.56,16,9.0,-0.42,46.6
1412,1113,0.5,16,8.0,-0.39,48.2
1416,1064,0.4,16,6.4,-0.35,55.3
1420,1016,0.4,16,6.4,-0.32,50.3
1424,970,0.37,16,5.9,-0.29,49.8
1428,916,0.3,16,4.8,-0.26,53.9
1432,869,0.2,16,3.2,-0.24,73.7
1436,810,0.2,16,3.2,-0.21,65.2
1440,758,0.2,16,3.2,-0.18,56.7
1444,697,0.1,16,1.6,-0.15,93.6
1448,641,0.1,16,1.6,-0.13,79.4
1452,578,0.1,16,1.6,-0.10,65.2
1456,513,0.05,16,0.8,-0.09,107.7
1460,450,0.05,16,0.8,-0.07,85.0
1464,388,0.05,16,0.8,-0.05,62.4
1468,317,0.05,16,0.8,-0.04,45.4
1472,0,0,16,0.0,0.00,0.0
1476,0,0,16,0.0,0.00,0.0
1480,0,0,16,0.0,0.00,0.0
1484,0,0,16,0.0,0.00,0.0
1488,0,0,16,0.0,0.00,0.0
1492,0,0,16,0.0,0.00,0.0
1496,0,0,16,0.0,0.00,0.0
1500,0,0,16,0.0,0.00,0.0
1504,0,0,16,0.0,0.00,0.0
1508,0,0,16,0.0,0.00,0.0
1512,0,0,16,0.0,0.00,0.0
1516,0,0,16,0.0,0.00,0.0
1520,0,0,16,0.0,0.00,0.0
1524,0,0,16,0.0,0.00,0.0
1528,0,0,16,0.0,0.00,0.0
1532,308,0.05,16,0.8,0.04,51.0
1536,375,0.05,16,0.8,0.05,68.0
1540,441,0.05,16,0.8,0.08,96.4
1544,508,0.05,16,0.8,0.10,124.7
1548,573,0.1,16,1.6,0.13,79.4
1552,630,0.1,16,1.6,0.15,96.4
1556,688,0.1,16,1.6,0.18,113.4
1560,749,0.2,16,3.2,0.22,68.0
1564,804,0.2,16,3.2,0.25,78.0
1568,859,0.2,16,3.2,0.29,90.7
1572,906,0.3,16,4.8,0.32,67.1
1576,962,0.4,16,6.4,0.36,56.0
1580,1007,0.4,16,6.4,0.40,62.4
1584,1057,0.5,16,8.0,0.44,54.4
1588,1104,0.5,16,8.0,0.47,59.0
1592,1148,0.6,16,9.6,0.51,53.4
1596,1195,0.7,16,11.2,0.56,49.8
1600,1237,0.8,16,12.8,0.60,47.1
1604,1279,0.8,16,12.8,0.64,50.0
1608,1319,0.9,16,14.4,0.68,47.2
1612,1359,1,16,16.0,0.72,45.1
1616,1409,1.1,16,17.6,0.78,44.1
1620,1444,1.2,16,19.2,0.82,42.5
1624,1480,1.3,16,20.8,0.87,41.9
1628,1516,1.45,16,23.2,0.91,39.1
1632,1549,1.5,16,24.0,0.95,39.5
1636,1583,1.6,16,25.6,0.99,38.8
1640,1629,1.8,16,28.8,1.03,35.9
1644,1668,2,16,32.0,1.10,34.3
1648,1699,2.1,16,33.6,1.14,34.0
1652,1740,2.2,16,35.2,1.18,33.6
1656,1766,2.4,16,38.4,1.24,32.2
1660,1802,2.6,16,41.6,1.28,30.7
1664,1835,2.8,16,44.8,1.33,29.7
1668,1865,2.9,16,46.4,1.39,29.9
1672,1901,3.1,16,49.6,1.44,29.0
1676,1930,3.3,16,52.8,1.48,28.1
1680,1961,3.5,16,56.0,1.54,27.5
1684,1994,3.7,16,59.2,1.59,26.8
1688,2031,3.9,16,62.4,1.65,26.5
1692,2071,4.1,16,65.6,1.69,25.8
1696,2106,4.3,16,68.8,1.76,25.6
1700,2129,4.58,16,73.3,1.82,24.9
1704,2160,4.7,16,75.2,1.88,25.0
1708,2190,5,16,80.0,1.93,24.2
1712,2219,5.2,16,83.2,1.99,23.9
1716,2244,5.42,16,86.7,2.05,23.6
1720,2266,5.69,16,91.0,2.12,23.3
1724,2305,5.9,16,94.4,2.18,23.1
1728,2342,6.19,16,99.0,2.22,22.4
1732,2392,6.4,16,102.4,2.28,22.2
1736,2416,6.7,16,107.2,2.38,22.2
1740,2446,7,16,112.0,2.43,21.7
1744,2475,7.4,16,118.4,2.52,21.3
1748,2498,7.7,16,123.2,2.58,20.9
1752,2538,8.04,16,128.6,2.65,20.6
1756,2584,8.4,16,134.4,2.73,20.3
1760,2609,8.7,16,139.2,2.76,19.8
1764,2639,9.03,16,144.5,2.84,19.7
1768,2663,9.34,16,149.4,2.89,19.3
1772,2688,9.69,16,155.0,2.98,19.2
1776,2711,10.01,16,160.2,3.05,19.1
1780,2735,10.4,16,166.4,3.11,18.7
1784,2766,10.68,16,170.9,3.17,18.6
1788,2809,10.9,16,174.4,3.22,18.4
1792,2822,11.3,16,180.8,3.30,18.3
1796,2854,11.64,16,186.2,3.37,18.1
1800,2888,11.93,16,190.9,3.42,17.9
1804,2903,12.38,16,198.1,3.51,17.7
1808,2934,12.79,16,204.6,3.61,17.6
1812,2973,13.14,16,210.2,3.68,17.5
1816,3002,13.54,16,216.6,3.74,17.3
1820,3042,13.99,16,223.8,3.82,17.1
1824,3065,14.46,16,231.4,3.89,16.8
1828,3108,14.86,16,237.8,3.96,16.6
1832,3125,15.4,16,246.4,4.06,16.5
1836,3153,15.86,16,253.8,4.15,16.3
1840,3180,16.41,16,262.6,4.25,16.2
1844,3204,16.97,16,271.5,4.30,15.9
1848,3242,17.42,16,278.7,4.38,15.7
1852,3260,18,16,288.0,4.51,15.7
1856,3299,18.5,16,296.0,4.53,15.3
1860,3308,19.13,16,306.1,4.65,15.2
1864,3351,19.59,16,313.4,4.71,15.0
1868,3379,20.15,16,322.4,4.79,14.8
1872,3406,20.67,16,330.7,4.84,14.6
1876,3428,21.13,16,338.1,4.93,14.6
1880,3438,21.8,16,348.8,5.01,14.4
1884,3455,22.38,16,358.1,5.08,14.2
1888,3494,22.81,16,365.0,5.14,14.1
1892,3516,23.28,16,372.5,5.18,13.9
1896,3527,23.9,16,382.4,5.22,13.7
1900,3533,23.83,16,381.3,5.25,13.8
