 PWM (µs), RPM, Current (A), Voltage (V), Power (W), Force (Kg f), Efficiency (g/W),,
1296,2265,5.41,20,108.2,-1.64,15.1,,
1300,2229,5.16,20,103.2,-1.58,15.3,,
1304,2192,4.88,20,97.6,-1.52,15.6,,
1308,2166,4.6,20,92.0,-1.47,16.0,,
1312,2135,4.31,20,86.2,-1.41,16.4,,
1316,2093,4.09,20,81.8,-1.37,16.8,,
1320,2050,3.81,20,76.2,-1.32,17.4,,
1324,2009,3.58,20,71.6,-1.27,17.7,,
1328,1972,3.32,20,66.4,-1.22,18.4,,
1332,1927,3.09,20,61.8,-1.17,18.9,,
1336,1895,2.9,20,58.0,-1.11,19.1,,
1340,1853,2.71,20,54.2,-1.07,19.7,,
1344,1816,2.46,20,49.2,-1.02,20.7,,
1348,1779,2.3,20,46.0,-0.99,21.5,,
1352,1748,2.1,20,42.0,-0.94,22.5,,
1356,1718,2,20,40.0,-0.91,22.7,,
1360,1676,1.84,20,36.8,-0.88,23.8,,
1364,1643,1.7,20,34.0,-0.83,24.4,,
1368,1597,1.59,20,31.8,-0.78,24.5,,
1372,1560,1.5,20,30.0,-0.75,25.1,,
1376,1526,1.3,20,26.0,-0.72,27.6,,
1380,1493,1.29,20,25.8,-0.69,26.7,,
1384,1461,1.2,20,24.0,-0.66,27.4,,
1388,1426,1.05,20,21.0,-0.63,30.0,,
1392,1388,1,20,20.0,-0.59,29.5,,
1396,1349,0.88,20,17.6,-0.56,31.7,,
1400,1315,0.8,20,16.0,-0.53,33.2,,
1404,1277,0.7,20,14.0,-0.50,36.0,,
1408,1246,0.7,20,14.0,-0.47,33.7,,
1412,1201,0.6,20,12.0,-0.44,37.0,,
1416,1159,0.5,20,10.0,-0.41,41.3,,
1420,1120,0.5,20,10.0,-0.39,38.6,,
1424,1077,0.4,20,8.0,-0.36,44.8,,
1428,1024,0.4,20,8.0,-0.32,40.3,,
1432,982,0.3,20,6.0,-0.29,49.1,,
1436,925,0.2,20,4.0,-0.26,65.8,,
1440,876,0.2,20,4.0,-0.24,59.0,,
1444,813,0.2,20,4.0,-0.20,51.0,,
1448,752,0.1,20,2.0,-0.17,86.2,,
1452,688,0.1,20,2.0,-0.15,72.6,,
1456,624,0.1,20,2.0,-0.12,61.2,,
1460,547,0.05,20,1.0,-0.09,90.7,,
1464,471,0.05,20,1.0,-0.07,72.6,,
1468,389,0.05,20,1.0,-0.05,54.4,,
1472,310,0.05,20,1.0,-0.04,36.3,,
1476,0,0,20,0.0,0.00,0.0,,
1480,0,0,20,0.0,0.00,0.0,,
1484,0,0,20,0.0,0.00,0.0,,
1488,0,0,20,0.0,0.00,0.0,,
1492,0,0,20,0.0,0.00,0.0,,
1496,0,0,20,0.0,0.00,0.0,,
1500,0,0,20,0.0,0.00,0.0,,
1504,0,0,20,0.0,0.00,0.0,,
1508,0,0,20,0.0,0.00,0.0,,
1512,0,0,20,0.0,0.00,0.0,,
1516,0,0,20,0.0,0.00,0.0,,
1520,0,0,20,0.0,0.00,0.0,,
1524,0,0,20,0.0,0.00,0.0,,
1528,0,0,20,0.0,0.00,0.0,,
1532,379,0.05,20,1.0,0.06,59.0,,
1536,457,0.05,20,1.0,0.09,86.2,,
1540,532,0.05,20,1.0,0.11,113.4,,
1544,605,0.1,20,2.0,0.15,74.8,,
1548,676,0.1,20,2.0,0.18,90.7,,
1552,735,0.1,20,2.0,0.21,106.6,,
1556,797,0.2,20,4.0,0.25,62.4,,
1560,857,0.2,20,4.0,0.29,71.4,,
1564,905,0.2,20,4.0,0.32,80.5,,
1568,963,0.3,20,6.0,0.36,60.5,,
1572,1001,0.4,20,8.0,0.39,48.8,,
1576,1046,0.4,20,8.0,0.43,53.3,,
1580,1092,0.5,20,10.0,0.47,46.7,,
1584,1129,0.5,20,10.0,0.50,49.9,,
1588,1162,0.6,20,12.0,0.54,44.6,,
1592,1207,0.7,20,14.0,0.57,40.8,,
1596,1240,0.7,20,14.0,0.61,43.4,,
1600,1273,0.8,20,16.0,0.64,40.0,,
1604,1305,0.8,20,16.0,0.66,41.4,,
1608,1334,0.96,20,19.2,0.70,36.4,,
1612,1367,1,20,20.0,0.74,37.0,,
1616,1407,1.1,20,22.0,0.78,35.5,,
1620,1441,1.2,20,24.0,0.82,34.0,,
1624,1472,1.3,20,26.0,0.86,33.1,,
1628,1506,1.4,20,28.0,0.89,31.8,,
1632,1537,1.51,20,30.2,0.93,30.9,,
1636,1571,1.6,20,32.0,0.98,30.5,,
1640,1603,1.79,20,35.8,1.02,28.5,,
1644,1644,1.9,20,38.0,1.06,27.9,,
1648,1685,2.06,20,41.2,1.12,27.2,,
1652,1720,2.2,20,44.0,1.17,26.6,,
1656,1751,2.37,20,47.4,1.22,25.7,,
1660,1797,2.63,20,52.6,1.28,24.3,,
1664,1832,2.82,20,56.4,1.31,23.2,,
1668,1868,3.06,20,61.2,1.38,22.5,,
1672,1911,3.28,20,65.6,1.44,21.9,,
1676,1950,3.49,20,69.8,1.53,21.9,,
1680,1991,3.72,20,74.4,1.58,21.3,,
1684,2040,3.98,20,79.6,1.64,20.6,,
1688,2072,4.26,20,85.2,1.74,20.4,,
1692,2110,4.59,20,91.8,1.80,19.6,,
1696,2145,4.83,20,96.6,1.85,19.1,,
1700,2186,5.08,20,101.6,1.92,18.9,,
1704,2218,5.39,20,107.8,1.98,18.4,,
1708,2242,5.66,20,113.2,2.07,18.3,,
1712,2292,5.9,20,118.0,2.12,18.0,,
1716,2321,6.2,20,124.0,2.20,17.7,,
1720,2371,6.5,20,130.0,2.25,17.3,,
1724,2419,6.87,20,137.4,2.33,16.9,,
1728,2452,7.3,20,146.0,2.44,16.7,,
1732,2493,7.72,20,154.4,2.52,16.3,,
1736,2520,8.14,20,162.8,2.61,16.0,,
1740,2552,8.53,20,170.6,2.66,15.6,,
1744,2593,8.92,20,178.4,2.76,15.5,,
1748,2621,9.29,20,185.8,2.83,15.2,,
1752,2654,9.7,20,194.0,2.91,15.0,,
1756,2696,10,20,200.0,2.99,15.0,,
1760,2723,10.43,20,208.6,3.06,14.7,,
1764,2752,10.77,20,215.4,3.13,14.6,,
1768,2788,11.12,20,222.4,3.22,14.5,,
1772,2820,11.47,20,229.4,3.28,14.3,,
1776,2861,11.78,20,235.6,3.36,14.2,,
1780,2887,12.23,20,244.6,3.44,14.1,,
1784,2928,12.62,20,252.4,3.55,14.1,,
1788,2968,13,20,260.0,3.64,14.0,,
1792,3013,13.47,20,269.4,3.72,13.8,,
1796,3039,14,20,280.0,3.85,13.7,,
1800,3088,14.46,20,289.2,3.96,13.7,,
1804,3122,15.07,20,301.4,4.10,13.6,,
1808,3182,15.64,20,312.8,4.21,13.5,,
1812,3221,16.27,20,325.4,4.33,13.3,,
1816,3268,16.83,20,336.6,4.42,13.1,,
1820,3304,17.51,20,350.2,4.55,13.0,,
1824,3341,18.07,20,361.4,4.70,13.0,,
1828,3380,18.69,20,373.8,4.82,12.9,,
1832,3418,19.3,20,386.0,4.93,12.8,,
1836,3453,19.98,20,399.6,5.02,12.6,,
1840,3481,20.63,20,412.6,5.14,12.5,,
1844,3519,21.21,20,424.2,5.20,12.3,,
1848,3561,21.88,20,437.6,5.39,12.3,,
1852,3593,22.49,20,449.8,5.52,12.3,,
1856,3614,23.2,20,464.0,5.62,12.1,,
1860,3660,23.8,20,476.0,5.71,12.0,,
1864,3684,24.55,20,491.0,5.82,11.8,,
1868,3721,25.19,20,503.8,5.93,11.8,,
1872,3732,25.95,20,519.0,6.06,11.7,,
1876,3778,26.62,20,532.4,6.13,11.5,,
1880,3801,27.55,20,551.0,6.26,11.4,,
1884,3837,28.12,20,562.4,6.36,11.3,,
1888,3855,28.95,20,579.0,6.46,11.2,,
1892,3877,29.74,20,594.8,6.55,11.0,,
1896,3907,30.46,20,609.2,6.62,10.9,,
1900,3931,31.21,20,624.2,6.72,10.8,,
