 PWM (µs), RPM, Current (A), Voltage (V), Power (W), Force (Kg f), Efficiency (g/W)
1600,1267,0.8,18,14.4,0.63,43.5
1604,1301,0.88,18,15.8,0.67,42.1
1608,1341,1,18,18.0,0.70,38.8
1612,1377,1,18,18.0,0.76,42.1
1616,1419,1.2,18,21.6,0.80,37.2
1620,1456,1.3,18,23.4,0.84,35.9
1624,1493,1.38,18,24.8,0.88,35.4
1628,1527,1.5,18,27.0,0.92,33.9
1632,1564,1.6,18,28.8,0.97,33.5
1636,1599,1.7,18,30.6,1.02,33.2
1640,1637,1.83,18,32.9,1.08,32.6
1644,1679,2,18,36.0,1.13,31.5
1648,1716,2.1,18,37.8,1.18,31.2
1652,1747,2.3,18,41.4,1.22,29.6
1656,1783,2.47,18,44.5,1.28,28.8
1660,1817,2.7,18,48.6,1.32,27.2
1664,1851,2.9,18,52.2,1.38,26.5
1668,1887,3.07,18,55.3,1.42,25.8
1672,1920,3.24,18,58.3,1.49,25.5
1676,1952,3.4,18,61.2,1.54,25.1
1680,1989,3.6,18,64.8,1.60,24.6
1684,2021,3.8,18,68.4,1.68,24.5
1688,2066,4.07,18,73.3,1.74,23.8
1692,2098,4.29,18,77.2,1.79,23.1
1696,2143,4.52,18,81.4,1.84,22.6
1700,2171,4.72,18,85.0,1.92,22.6
1704,2198,4.98,18,89.6,1.97,22.0
1708,2230,5.2,18,93.6,2.04,21.8
1712,2265,5.47,18,98.5,2.08,21.1
1716,2293,5.7,18,102.6,2.17,21.2
1720,2330,5.97,18,107.5,2.22,20.6
1724,2351,6.25,18,112.5,2.28,20.3
1728,2402,6.55,18,117.9,2.36,20.0
1732,2443,6.87,18,123.7,2.43,19.7
1736,2474,7.28,18,131.0,2.50,19.1
1740,2513,7.64,18,137.5,2.59,18.8
1744,2546,8,18,144.0,2.64,18.4
1748,2577,8.4,18,151.2,2.74,18.1
1752,2602,8.8,18,158.4,2.79,17.6
1756,2627,9.15,18,164.7,2.87,17.4
1760,2670,9.48,18,170.6,2.93,17.1
1764,2695,9.9,18,178.2,3.01,16.9
1768,2731,10.2,18,183.6,3.10,16.9
1772,2766,10.53,18,189.5,3.15,16.6
1776,2809,10.81,18,194.6,3.21,16.5
1780,2823,11.18,18,201.2,3.27,16.2
1784,2850,11.58,18,208.4,3.39,16.3
1788,2894,11.88,18,213.8,3.46,16.2
1792,2914,12.29,18,221.2,3.54,16.0
1796,2960,12.59,18,226.6,3.63,16.0
1800,2985,13.12,18,236.2,3.72,15.8
1804,3026,13.5,18,243.0,3.79,15.6
1808,3055,14.04,18,252.7,3.92,15.5
1812,3089,14.49,18,260.8,4.02,15.4
1816,3124,15.09,18,271.6,4.14,15.2
1820,3180,15.55,18,279.9,4.21,15.0
1824,3222,16.14,18,290.5,4.32,14.9
1828,3265,16.66,18,299.9,4.41,14.7
1832,3283,17.32,18,311.8,4.54,14.5
1836,3324,17.89,18,322.0,4.67,14.5
1840,3375,18.45,18,332.1,4.69,14.1
1844,3391,19.27,18,346.9,4.86,14.0
1848,3417,19.72,18,355.0,4.92,13.9
1852,3446,20.38,18,366.8,5.02,13.7
1856,3482,21.03,18,378.5,5.12,13.5
1860,3513,21.6,18,388.8,5.21,13.4
1864,3542,22.29,18,401.2,5.29,13.2
1868,3572,22.87,18,411.7,5.38,13.1
1872,3597,23.55,18,423.9,5.50,13.0
1876,3619,24.23,18,436.1,5.60,12.8
1880,3637,24.77,18,445.9,5.67,12.7
1884,3653,25.48,18,458.6,5.77,12.6
1888,3687,26.04,18,468.7,5.82,12.4
1892,3711,26.74,18,481.3,5.90,12.3
1896,3751,27.22,18,490.0,5.98,12.2
1900,3742,27.57,18,496.3,6.02,12.1
